Total number of words = 30088
Word count: 
474.bargain = 2
475.mention = 3
476.brings = 1
477.back = 25
478.started = 4
479.must = 22
480.distinctly = 1
481.understood = 2
482.nothing = 35
483.wonderful = 9
484.come = 36
485.am = 45
486.going = 14
487.relate = 1
488.we = 30
489.perfectly = 7
490.convinced = 2
491.hamlet's = 1
492.father = 15
493.died = 4
494.before = 56
495.began = 8
496.taking = 9
497.stroll = 1
498.night = 27
499.easterly = 1
500.wind = 6
501.ramparts = 1
502.than = 42
503.any = 42
504.other = 35
505.middle-aged = 1
506.gentleman = 18
507.rashly = 1
508.turning = 8
509.after = 23
510.dark = 21
511.breezy = 1
512.spot--say = 1
513.st = 2
514.paul's = 1
515.church-yard = 1
516.instance--literally = 1
517.astonish = 1
518.son's = 1
519.weak = 3
520.never = 39
521.painted = 1
522.stood = 22
523.afterwards = 4
524.above = 7
525.warehouse = 3
526.door = 41
527.firm = 2
528.sometimes = 7
529.called = 12
530.answered = 9
531.both = 7
532.names = 1
533.same = 23
534.tight-fisted = 1
535.grindstone = 1
536.squeezing = 1
537.wrenching = 1
538.grasping = 1
539.scraping = 2
540.clutching = 2
541.covetous = 1
542.sinner = 1
543.hard = 11
544.sharp = 4
545.flint = 1
546.steel = 2
547.struck = 10
548.generous = 4
549.fire = 30
550.secret = 4
551.self-contained = 1
552.solitary = 4
553.oyster = 1
554.within = 9
555.froze = 1
556.features = 2
557.nipped = 2
558.pointed = 15
559.nose = 7
560.shrivelled = 2
561.cheek = 3
562.stiffened = 1
563.gait = 1
564.made = 43
565.red = 6
566.thin = 1
567.lips = 3
568.blue = 1
569.spoke = 12
570.shrewdly = 1
571.grating = 1
572.voice = 23
573.frosty = 1
574.rime = 1
575.eyebrows = 2
576.wiry = 1
577.chin = 6
578.carried = 5
579.low = 6
580.temperature = 1
581.always = 18
582.iced = 1
583.office = 9
584.dog-days = 1
585.didn't = 9
586.thaw = 1
587.external = 1
588.heat = 2
589.influence = 4
590.warmth = 3
591.warm = 8
592.wintry = 2
593.weather = 8
594.chill = 1
595.blew = 2
596.bitterer = 1
597.falling = 3
598.snow = 9
599.intent = 3
600.purpose = 9
601.pelting = 1
602.rain = 2
603.less = 7
604.open = 18
605.entreaty = 2
606.foul = 2
607.where = 35
608.heaviest = 1
609.hail = 1
610.sleet = 1
611.boast = 1
612.advantage = 1
613.over = 18
614.only = 25
615.respect = 1
616.they = 176
617.often = 12
618.came = 45
619.down = 64
620.handsomely = 1
621.nobody = 9
622.stopped = 12
623.street = 9
624.gladsome = 1
625.looks = 3
626.see = 47
627.beggars = 3
628.implored = 1
629.bestow = 2
630.trifle = 1
631.children = 18
632.asked = 21
633.o'clock = 2
634.once = 17
635.place = 21
636.blind = 5
637.men's = 1
638.dogs = 2
639.appeared = 14
640.saw = 23
641.coming = 16
642.tug = 1
643.owners = 1
644.doorways = 1
645.courts = 1
646.then = 43
647.wag = 1
648.tails = 1
649.said = 221
650.eye = 12
651.evil = 2
652.master = 15
653.care = 6
654.thing = 12
655.liked = 4
656.edge = 1
657.along = 9
658.crowded = 1
659.paths = 1
660.warning = 3
661.sympathy = 2
662.keep = 14
663.distance = 4
664.knowing = 3
665.ones = 1
666.call = 4
667.nuts = 2
668.time--of = 1
669.year = 18
670.eve--old = 1
671.sat = 24
672.busy = 5
673.counting-house = 4
674.bleak = 3
675.biting = 2
676.foggy = 2
677.withal = 1
678.hear = 17
679.court = 5
680.outside = 5
681.go = 19
682.wheezing = 1
683.beating = 1
684.breasts = 1
685.stamping = 1
686.feet = 8
687.pavement = 3
688.stones = 2
689.city = 12
690.clocks = 1
691.just = 13
692.gone = 9
693.quite = 26
694.already--it = 1
695.light = 30
696.day--and = 1
697.candles = 1
698.flaring = 2
699.windows = 7
700.neighbouring = 2
701.offices = 3
702.like = 59
703.ruddy = 6
704.smears = 1
705.palpable = 1
706.brown = 3
707.pouring = 3
708.chink = 1
709.keyhole = 3
710.dense = 2
711.without = 20
712.narrowest = 1
713.houses = 7
714.opposite = 4
715.mere = 5
716.phantoms = 2
717.dingy = 2
718.cloud = 1
719.drooping = 1
720.obscuring = 1
721.everything = 12
722.thought = 29
723.nature = 6
724.lived = 6
725.brewing = 1
726.large = 11
727.scale = 1
728.dismal = 5
729.cell = 1
730.beyond = 10
731.sort = 4
732.tank = 6
733.copying = 1
734.letters = 2
735.clerk's = 2
736.much = 36
737.smaller = 2
738.looked = 32
739.coal = 1
740.couldn't = 6
741.replenish = 1
742.kept = 1
743.coal-box = 1
744.room = 26
745.surely = 5
746.shovel = 2
747.predicted = 2
748.necessary = 2
749.part = 10
750.wherefore = 1
751.white = 8
752.comforter = 4
753.tried = 12
754.himself = 47
755.candle = 5
756.effort = 2
757.strong = 7
758.imagination = 1
759.failed = 1
760.nephew = 32
761.quickly = 2
762.intimation = 1
763.approach = 2
764.bah = 2
765.humbug = 9
766.heated = 2
767.rapid = 3
768.walking = 4
769.frost = 6
770.glow = 3
771.face = 32
772.handsome = 4
773.sparkled = 3
774.breath = 8
775.smoked = 3
776.again = 49
777.scrooge\'s = 18
778.don\'t = 31
779.sure = 13
780.do = 59
781.reason = 5
782.you\'re = 5
783.poor = 30
784.enough = 23
785.returned = 28
786.gaily = 3
787.morose = 1
788.rich = 5
789.having = 14
790.answer = 9
791.ready = 9
792.spur = 1
793.cross = 1
794.else = 8
795.world = 15
796.fools = 1
797.what's = 2
798.christmas-time = 5
799.time = 61
800.paying = 1
801.bills = 1
802.money = 6
803.finding = 5
804.yourself = 4
805.older = 4
806.hour = 15
807.richer = 1
808.balancing = 1
809.your = 53
810.item = 1
811.em = 5
812.round = 33
813.dozen = 4
814.months = 1
815.presented = 2
816.against = 10
817.work = 11
818.indignantly = 2
819.idiot = 1
820.goes = 3
821.\'merry = 1
822.christmas\ = 1
823.should = 28
824.boiled = 4
825.pudding = 9
826.buried = 3
827.stake = 1
828.holly = 7
829.pleaded = 2
830.sternly = 1
831.let = 22
832.mine = 4
833.repeated = 5
834.leave = 4
835.alone = 12
836.may = 21
837.things = 13
838.derived = 1
839.profited = 1
840.dare = 3
841.among = 16
842.rest = 10
843.round--apart = 1
844.veneration = 1
845.due = 1
846.sacred = 1
847.origin = 1
848.belonging = 3
849.apart = 2
850.that--as = 1
851.kind = 18
852.forgiving = 1
853.charitable = 1
854.pleasant = 8
855.long = 27
856.calendar = 1
857.men = 16
858.women = 3
859.consent = 2
860.shut-up = 1
861.hearts = 7
862.freely = 1
863.think = 24
864.below = 10
865.really = 5
866.fellow-passengers = 1
867.grave = 5
868.another = 35
869.race = 3
870.creatures = 3
871.bound = 6
872.journeys = 2
873.scrap = 1
874.gold = 4
875.silver = 3
876.pocket = 3
877.believe = 18
878._has_ = 1
879._will_ = 1
880.involuntarily = 1
881.applauded = 1
882.becoming = 2
883.immediately = 4
884.sensible = 2
885.impropriety = 1
886.poked = 1
887.extinguished = 1
888.frail = 1
889.spark = 1
890.sound = 10
891._you_ = 3
892.you\'ll = 3
893.losing = 1
894.situation = 5
895.you're = 1
896.powerful = 1
897.speaker = 3
898.sir = 16
899.added = 3
900.wonder = 6
901.parliament = 2
902.angry = 5
903.dine = 3
904.to-morrow = 6
905.him----yes = 1
906.indeed = 16
907.went = 44
908.length = 7
909.extremity = 1
910.why = 37
911.get = 6
912.married = 3
913.fell = 11
914.love = 8
915.growled = 3
916.ridiculous = 2
917.afternoon = 10
918.nay = 1
919.happened = 13
920.give = 16
921.now = 56
922.want = 7
923.ask = 6
924.cannot = 7
925.friends = 5
926.sorry = 7
927.find = 12
928.resolute = 1
929.quarrel = 3
930.party = 7
931.trial = 1
932.homage = 1
933.i'll = 5
934.left = 20
935.word = 13
936.notwithstanding = 3
937.outer = 2
938.greetings = 1
939.season = 4
940.warmer = 1
941.cordially = 1
942.there\'s = 7
943.fellow = 8
944.muttered = 4
945.overheard = 1
946.fifteen = 3
947.shillings = 2
948.week = 2
949.family = 14
950.talking = 1
951.i\'ll = 10
952.retire = 2
953.bedlam = 1
954.lunatic = 1
955.letting = 1
956.two = 36
957.portly = 2
958.gentlemen = 7
959.behold = 2
960.hats = 1
961.off = 34
962.papers = 1
963.bowed = 1
964.marley\'s = 3
965.referring = 1
966.list = 1
967.pleasure = 6
968.addressing = 1
969.mr = 16
970.seven = 9
971.replied = 18
972.ago = 5
973.liberality = 2
974.well = 24
975.represented = 1
976.surviving = 1
977.partner = 8
978.presenting = 1
979.credentials = 2
980.certainly = 4
981.kindred = 1
982.ominous = 1
983.frowned = 1
984.shook = 7
985.handed = 1
986.festive = 1
987.pen = 4
988.usually = 2
989.desirable = 1
990.slight = 3
991.provision = 1
992.destitute = 1
993.suffer = 2
994.greatly = 2
995.present = 11
996.thousands = 2
997.common = 3
998.necessaries = 1
999.hundreds = 4
1000.comforts = 1
1001.prisons = 3
1002.plenty = 5
1003.laying = 2
1004.union = 1
1005.workhouses = 2
1006.demanded = 3
1007.still = 17
1008.operation = 1
1009.wish = 11
1010.treadmill = 1
1011.law = 1
1012.full = 14
1013.vigour = 3
1014.afraid = 7
1015.something = 14
1016.occurred = 1
1017.stop = 6
1018.useful = 1
1019.glad = 3
1020.under = 7
1021.impression = 1
1022.scarcely = 11
1023.furnish = 1
1024.christian = 3
1025.cheer = 2
1026.body = 6
1027.multitude = 1
1028.few = 8
1029.endeavouring = 3
1030.raise = 5
1031.fund = 1
1032.buy = 5
1033.meat = 3
1034.drink = 3
1035.means = 6
1036.choose = 2
1037.keenly = 3
1038.abundance = 1
1039.rejoices = 1
1040.anonymous = 1
1041.since = 4
1042.can't = 3
1043.afford = 1
1044.idle = 2
1045.help = 10
1046.support = 1
1047.establishments = 1
1048.mentioned--they = 1
1049.cost = 2
1050.badly = 1
1051.can\'t = 1
1052.rather = 11
1053.die = 9
1054.decrease = 2
1055.surplus = 3
1056.population = 2
1057.besides--excuse = 1
1058.me--i = 1
1059.observed = 16
1060.understand = 2
1061.interfere = 2
1062.people's = 2
1063.occupies = 1
1064.constantly = 1
1065.seeing = 4
1066.clearly = 5
1067.useless = 1
1068.pursue = 1
1069.withdrew = 1
1070.resumed = 4
1071.labours = 1
1072.improved = 1
1073.opinion = 5
1074.facetious = 2
1075.temper = 2
1076.usual = 6
1077.meanwhile = 1
1078.darkness = 7
1079.thickened = 1
1080.ran = 4
1081.links = 1
1082.proffering = 1
1083.services = 1
1084.horses = 1
1085.carriages = 1
1086.conduct = 5
1087.ancient = 5
1088.tower = 1
1089.whose = 10
1090.gruff = 1
1091.bell = 15
1092.peeping = 2
1093.slily = 1
1094.gothic = 1
1095.wall = 10
1096.became = 10
1097.invisible = 4
1098.hours = 2
1099.quarters = 3
1100.clouds = 2
1101.tremulous = 2
1102.vibrations = 1
1103.teeth = 2
1104.chattering = 2
1105.frozen = 2
1106.intense = 1
1107.main = 1
1108.corner = 9
1109.labourers = 1
1110.repairing = 1
1111.gas-pipes = 1
1112.lighted = 6
1113.brazier = 1
1114.ragged = 3
1115.boys = 8
1116.gathered = 1
1117.warming = 1
1118.winking = 2
1119.blaze = 4
1120.rapture = 1
1121.water-plug = 1
1122.solitude = 1
1123.overflowings = 1
1124.suddenly = 2
1125.congealed = 1
1126.turned = 13
1127.misanthropic = 1
1128.ice = 1
1129.shops = 5
1130.sprigs = 1
1131.berries = 3
1132.crackled = 1
1133.lamp = 3
1134.pale = 2
1135.faces = 5
1136.passed = 16
1137.poulterers = 2
1138.grocers = 3
1139.trades = 1
1140.splendid = 2
1141.joke = 3
1142.pageant = 1
1143.impossible = 5
1144.dull = 7
1145.principles = 1
1146.sale = 1
1147.lord = 6
1148.mayor = 1
1149.stronghold = 1
1150.mighty = 3
1151.mansion = 2
1152.house = 20
1153.orders = 1
1154.fifty = 5
1155.cooks = 1
1156.butlers = 1
1157.mayor's = 1
1158.household = 1
1159.tailor = 1
1160.fined = 1
1161.previous = 1
1162.monday = 1
1163.drunk = 1
1164.blood-thirsty = 1
1165.streets = 12
1166.stirred = 3
1167.to-morrow's = 1
1168.garret = 1
1169.lean = 1
1170.baby = 5
1171.sallied = 1
1172.beef = 2
1173.foggier = 1
1174.colder = 1
1175.piercing = 1
1176.searching = 1
1177.dunstan = 1
1178.spirit's = 4
1179.touch = 6
1180.instead = 5
1181.using = 2
1182.weapons = 1
1183.roared = 3
1184.lusty = 1
1185.owner = 2
1186.scant = 1
1187.young = 27
1188.gnawed = 2
1189.mumbled = 1
1190.hungry = 2
1191.bones = 5
1192.stooped = 1
1193.regale = 1
1194.dismay = 1
1195.seized = 2
1196.ruler = 2
1197.energy = 1
1198.action = 2
1199.singer = 1
1200.fled = 1
1201.terror = 3
1202.leaving = 2
1203.congenial = 1
1204.shutting = 2
1205.arrived = 1
1206.ill-will = 2
1207.dismounted = 1
1208.stool = 6
1209.tacitly = 1
1210.admitted = 1
1211.fact = 3
1212.expectant = 1
1213.instantly = 4
1214.snuffed = 1
1215.hat = 2
1216.suppose = 11
1217.convenient = 2
1218.fair = 4
1219.half-a-crown = 3
1220.you\'d = 1
1221.ill = 4
1222.used = 10
1223.smiled = 3
1224.faintly = 2
1225._me_ = 4
1226.pay = 2
1227.day\'s = 2
1228.wages = 1
1229.excuse = 2
1230.picking = 1
1231.man\'s = 3
1232.twenty-fifth = 1
1233.december = 1
1234.buttoning = 1
1235.great-coat = 2
1236.here = 36
1237.earlier = 1
1238.morning = 8
1239.promised = 4
1240.walked = 15
1241.growl = 2
1242.closed = 5
1243.twinkling = 1
1244.ends = 4
1245.dangling = 1
1246.waist = 3
1247.boasted = 1
1248.slide = 1
1249.cornhill = 1
1250.lane = 2
1251.twenty = 5
1252.times = 6
1253.honour = 3
1254.christmas-eve = 2
1255.home = 25
1256.camden = 2
1257.town = 7
1258.pelt = 1
1259.blindman's = 3
1260.buff = 3
1261.took = 12
1262.melancholy = 4
1263.dinner = 11
1264.tavern = 1
1265.read = 3
1266.newspapers = 1
1267.beguiled = 1
1268.evening = 5
1269.banker's = 1
1270.bed = 24
1271.chambers = 2
1272.belonged = 1
1273.deceased = 1
1274.gloomy = 2
1275.suite = 1
1276.rooms = 5
1277.lowering = 1
1278.pile = 1
1279.building = 2
1280.yard = 6
1281.fancying = 1
1282.run = 1
1283.playing = 1
1284.hide-and-seek = 1
1285.forgotten = 6
1286.dreary = 2
1287.stone = 7
1288.fain = 1
1289.grope = 1
1290.hung = 9
1291.black = 9
1292.gateway = 1
1293.seemed = 14
1294.genius = 1
1295.mournful = 3
1296.meditation = 1
1297.threshold = 3
1298.particular = 7
1299.knocker = 6
1300.except = 2
1301.also = 7
1302.seen = 13
1303.during = 2
1304.residence = 1
1305.fancy = 1
1306.london = 2
1307.including--which = 1
1308.bold = 4
1309.word--the = 1
1310.corporation = 1
1311.aldermen = 1
1312.livery = 1
1313.borne = 2
1314.bestowed = 1
1315.seven-years'-dead = 1
1316.explain = 1
1317.key = 2
1318.lock = 3
1319.undergoing = 1
1320.intermediate = 1
1321.process = 1
1322.change--not = 1
1323.impenetrable = 1
1324.objects = 1
1325.lobster = 1
1326.cellar = 3
1327.ferocious = 2
1328.look = 19
1329.ghostly = 6
1330.spectacles = 1
1331.forehead = 2
1332.hair = 8
1333.curiously = 3
1334.hot = 8
1335.wide = 6
1336.motionless = 2
1337.livid = 2
1338.colour = 4
1339.horrible = 2
1340.horror = 5
1341.spite = 3
1342.control = 1
1343.fixedly = 1
1344.phenomenon = 2
1345.startled = 2
1346.conscious = 4
1347.terrible = 3
1348.sensation = 2
1349.stranger = 1
1350.infancy = 1
1351.untrue = 1
1352.relinquished = 1
1353.sturdily = 1
1354._did_ = 3
1355.pause = 3
1356.moment's = 1
1357.irresolution = 1
1358.shut = 7
1359.cautiously = 1
1360.behind = 17
1361.half = 16
1362.expected = 2
1363.terrified = 1
1364.sight = 9
1365.pigtail = 3
1366.sticking = 1
1367.hall = 7
1368.screws = 1
1369.held = 11
1370.pooh = 2
1371.bang = 1
1372.resounded = 1
1373.thunder = 1
1374.cask = 1
1375.wine = 4
1376.merchant's = 2
1377.cellars = 1
1378.separate = 2
1379.peal = 1
1380.echoes = 2
1381.frightened = 2
1382.fastened = 2
1383.across = 4
1384.stairs = 3
1385.slowly = 3
1386.too = 29
1387.trimming = 1
1388.talk = 3
1389.vaguely = 1
1390.driving = 2
1391.coach = 2
1392.six = 3
1393.flight = 1
1394.act = 3
1395.got = 20
1396.hearse = 2
1397.staircase = 1
1398.taken = 8
1399.broadwise = 1
1400.splinter-bar = 1
1401.towards = 19
1402.balustrades = 1
1403.easy = 5
1404.width = 1
1405.spare = 1
1406.locomotive = 1
1407.gloom = 4
1408.half-a-dozen = 1
1409.gas-lamps = 1
1410.wouldn't = 8
1411.entry = 1
1412.pretty = 5
1413.dip = 1
1414.caring = 2
1415.button = 1
1416.cheap = 3
1417.heavy = 12
1418.recollection = 2
1419.desire = 4
1420.sitting-room = 2
1421.bedroom = 2
1422.lumber-room = 2
1423.table = 11
1424.sofa = 2
1425.grate = 1
1426.spoon = 1
1427.basin = 1
1428.saucepan = 5
1429.gruel = 3
1430.hob = 3
1431.closet = 2
1432.dressing-gown = 4
1433.hanging = 5
1434.suspicious = 1
1435.fire-guard = 1
1436.shoes = 3
1437.fish = 3
1438.baskets = 3
1439.washing-stand = 1
1440.legs = 8
1441.poker = 1
1442.satisfied = 2
1443.locked = 4
1444.double = 2
1445.custom = 1
1446.thus = 4
1447.secured = 1
1448.surprise = 8
1449.cravat = 2
1450.slippers = 3
1451.nightcap = 2
1452.take = 10
1453.bitter = 1
1454.obliged = 5
1455.close = 8
1456.brood = 2
1457.extract = 1
1458.least = 4
1459.handful = 1
1460.fuel = 2
1461.fire-place = 3
1462.built = 2
1463.dutch = 2
1464.merchant = 1
1465.paved = 1
1466.quaint = 1
1467.tiles = 1
1468.designed = 1
1469.illustrate = 1
1470.scriptures = 1
1471.cains = 1
1472.abels = 1
1473.pharaoh's = 1
1474.daughters = 4
1475.queens = 1
1476.sheba = 1
1477.angelic = 1
1478.messengers = 1
1479.descending = 2
1480.feather = 2
1481.beds = 2
1482.abrahams = 1
1483.belshazzars = 1
1484.apostles = 1
1485.putting = 6
1486.sea = 4
1487.butter-boats = 1
1488.figures = 2
1489.attract = 1
1490.prophet's = 1
1491.rod = 1
1492.swallowed = 2
1493.each = 15
1494.smooth = 2
1495.tile = 1
1496.blank = 2
1497.power = 9
1498.shape = 6
1499.picture = 1
1500.surface = 1
1501.disjointed = 1
1502.fragments = 3
1503.copy = 1
1504.several = 5
1505.turns = 2
1506.threw = 3
1507.chair = 7
1508.glance = 2
1509.disused = 1
1510.communicated = 1
1511.chamber = 4
1512.highest = 1
1513.astonishment = 3
1514.strange = 10
1515.inexplicable = 1
1516.dread = 4
1517.swing = 1
1518.swung = 1
1519.softly = 3
1520.outset = 2
1521.soon = 7
1522.rang = 1
1523.loudly = 3
1524.lasted = 1
1525.minute = 5
1526.ceased = 4
1527.begun = 2
1528.succeeded = 3
1529.clanking = 1
1530.noise = 5
1531.person = 6
1532.dragging = 2
1533.chain = 10
1534.casks = 1
1535.remembered = 6
1536.heard = 16
1537.ghosts = 2
1538.chains = 3
1539.flew = 2
1540.booming = 1
1541.louder = 1
1542.floors = 1
1543.straight = 9
1544.won\'t = 1
1545.changed = 6
1546.dying = 2
1547.flame = 1
1548.leaped = 1
1549.waistcoat = 5
1550.tights = 1
1551.boots = 3
1552.tassels = 2
1553.latter = 4
1554.bristling = 1
1555.coat-skirts = 1
1556.drew = 4
1557.clasped = 5
1558.middle = 4
1559.wound = 3
1560.tail = 2
1561.cash-boxes = 1
1562.keys = 2
1563.padlocks = 1
1564.ledgers = 1
1565.deeds = 3
1566.purses = 1
1567.wrought = 1
1568.transparent = 3
1569.observing = 4
1570.looking = 20
1571.buttons = 1
1572.coat = 1
1573.bowels = 2
1574.believed = 3
1575.until = 17
1576.nor = 10
1577.phantom = 14
1578.standing = 5
1579.chilling = 1
1580.death-cold = 1
1581.texture = 1
1582.folded = 1
1583.kerchief = 1
1584.wrapper = 2
1585.incredulous = 1
1586.fought = 1
1587.senses = 3
